idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,7.400736856899153e-92,1.0507334341032917e-59,0.0020000000000000126,6.316683321671088e-76,3.4667911592395265e-44,-0.04319194377518533,-4.211122214447385e-75,-2.3111941061596795e-43,-0.18698704149876455,0.0,70.0,255.0,255.0,255.0
1,0.05,3.1583416608355514e-77,1.733395579619774e-45,-0.00015959718875925392,4.2111222144473957e-76,2.3111941061596866e-44,-0.05254129585012356,-5.790293044865154e-75,-3.1778918959695597e-43,-0.28000718206080133,0.0,70.0,255.0,255.0,255.0
2,0.1,4.211122214447403e-77,2.3111941061596972e-45,-0.0032541295850123434,5.263902768059333e-77,2.888992632699664e-45,-0.07119266198126546,-6.316683321671077e-75,-3.466791159239521e-43,-0.37208056224814695,0.0,70.0,255.0,255.0,255.0
3,0.15000000000000002,3.684731937641485e-77,2.0222948428897404e-45,-0.007278863386885801,-2.1055611072236813e-76,-1.1555970530798346e-44,-0.08974935207493825,-4.2111222144474346e-75,-2.3111941061597153e-43,-0.3701870414987983,0.0,70.0,255.0,255.0,255.0
4,0.2,2.105561107223722e-77,1.1555970530798626e-45,-0.01222906479250617,-3.6847319376415015e-76,-2.022294842889749e-44,-0.10821136613114529,-2.0613884965826886e-75,-1.1313537582600178e-43,-0.3682940762581763,0.0,70.0,255.0,255.0,255.0
5,0.25,-1.6575381500260634e-91,-8.80459427203635e-60,-0.01810000000000033,-4.16694960380637e-76,-2.2869508113398525e-44,-0.12657875970075588,3.4233773246825087e-76,1.878855348539321e-44,-0.36640430519282285,0.0,70.0,255.0,255.0,255.0
6,0.30000000000000004,-2.0613884965826486e-77,-1.1313537582599901e-45,-0.024886940762581758,-3.3423942051732507e-76,-1.8344093080358169e-44,-0.14485179665042758,3.0675424056290097e-75,1.6835621402678863e-43,-0.3645185769967918,0.0,70.0,255.0,255.0,255.0
7,0.35000000000000003,-3.342394205173267e-77,-1.8344093080358258e-45,-0.03258517966504309,-1.09940719817736e-76,-6.033886710719661e-45,-0.16303061740043506,5.538754567603603e-75,3.0398398004676082e-43,-0.3626296546254604,0.0,70.0,255.0,255.0,255.0
8,0.4,-3.1607956947600087e-77,-1.7347424293319563e-45,-0.041190002502625264,2.1963603624303522e-76,1.2054304924317916e-44,-0.18111476211297362,6.836938513665705e-75,3.752323298228924e-43,-0.3607259804105159,0.0,70.0,255.0,255.0,255.0
9,0.45,-1.146033842742915e-77,-6.28978815604034e-46,-0.05069665587634045,5.737531315488345e-76,3.1489346271569587e-44,-0.19910321544148665,6.049193623900137e-75,3.3199845406081097e-43,-0.3588027871244426,0.0,70.0,255.0,255.0,255.0
10,0.5,2.5767356207283367e-77,1.414192197825002e-45,-0.06110032404677393,8.24555398633049e-76,4.525415033039901e-44,-0.21699504082541787,1.8945141897162922e-75,1.03976797782934e-43,-0.35687585312526443,0.0,70.0,255.0,255.0,255.0
11,0.55,7.099520143587574e-77,3.896436217435868e-45,-0.07239615995888224,7.632045505204638e-76,4.1887026049862987e-44,-0.2347908007540131,-6.044285556051329e-75,-3.317290841183791e-43,-0.3549501883516687,0.0,70.0,255.0,255.0,255.0
12,0.6000000000000001,1.0208781125932974e-76,5.602894802811301e-45,-0.08457940412217524,2.2012684302791602e-76,1.2081241918561102e-44,-0.25249005966058474,-1.5318079756748586e-74,-8.407035903641446e-43,-0.3529691334704499,0.0,70.0,255.0,255.0,255.0
13,0.65,9.300788573866735e-77,5.1045604092919786e-45,-0.09764516592494071,-7.68603425154395e-76,-4.2183332986551463e-44,-0.2700877141010581,-2.180899948705922e-74,-1.1969453392448087e-42,-0.35084480058247824,0.0,70.0,255.0,255.0,255.0
14,0.7000000000000001,2.5227468743890233e-77,1.3845615041561543e-45,-0.11158817553228105,-1.9607731056780063e-75,-1.0761329200591977e-43,-0.28757453971883257,-2.1173404700612717e-74,-1.162061931698449e-42,-0.348506500029927,0.0,70.0,255.0,255.0,255.0
15,0.75,-1.030694248291333e-76,-5.6567687913e-45,-0.12640261989682397,-2.885943895215667e-75,-1.5838952615639638e-43,-0.3049383641040508,-7.578056758865242e-75,-4.1590719113174055e-43,-0.3458966807390357,0.0,70.0,255.0,255.0,255.0
16,0.8,-2.633669207776765e-76,-1.4454391111483485e-44,-0.14208201194268613,-2.7185787815645305e-75,-1.4920401111909383e-43,-0.32216420779273613,2.11537724292174e-74,1.1609844519287167e-42,-0.3429998265038664,0.0,70.0,255.0,255.0,255.0
17,0.8500000000000001,-3.749273029855864e-76,-2.0577169903209384e-44,-0.15861904067609758,-7.705666522939271e-76,-4.2291080963524703e-44,-0.3392383467544374,5.573356445939078e-74,3.05883038140982e-42,-0.3398964222153439,0.0,70.0,255.0,255.0,255.0
