Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,0,-0.0013,255,255,255
250,0,0,0.0117,255,255,255
500,0,0,0.039,255,255,255
750,0,0,0.0802,255,255,255
1000,0,0,0.1351,255,255,255
1250,0,0,0.2032,255,255,255
1500,0,0,0.2842,255,255,255
1750,0,0,0.3776,255,255,255
2000,0,0,0.4831,255,255,255
2250,0,0,0.6003,255,255,255
2500,0,0,0.7289,255,255,255
2750,0,0,0.8684,255,255,255
3000,0,0,1.0184,255,255,255
3250,0,0,1.1786,255,255,255
3500,0,0,1.3486,255,255,255
3750,0,0,1.528,255,255,255
4000,0,0,1.7164,255,255,255
4250,0,0,1.9134,255,255,255
4500,0,0,2.1187,255,255,255
4750,0,0,2.3318,255,255,255
5000,0,0,2.5524,255,255,255
5250,0,0,2.7801,255,255,255
5500,0,0,3.0146,255,255,255
5750,0,0,3.2553,255,255,255
6000,0,0,3.502,255,255,255
6250,0,0,3.7542,255,255,255
6500,0,0,4.0116,255,255,255
6750,0,0,4.2738,255,255,255
7000,0,0,4.5404,255,255,255
7250,0,0,4.8111,255,255,255
7500,0,0,5.0853,255,255,255
7750,0,0,5.3628,255,255,255
8000,0,0,5.6432,255,255,255
8250,0,0,5.9261,255,255,255
8500,0,0,6.2111,255,255,255
8750,0,0,6.4977,255,255,255
9000,0,0,6.7857,255,255,255
9250,0,0,7.0747,255,255,255
9500,0,0,7.3642,255,255,255
9750,0,0,7.6539,255,255,255
10000,0,0,7.9434,255,255,255
10250,0,0,8.2323,255,255,255
10500,0,0,8.5203,255,255,255
10750,0,0,8.8068,255,255,255
11000,0,0,9.0917,255,255,255
11250,0,0,9.3744,255,255,255
11500,0,0,9.6546,255,255,255
11750,0,0,9.9319,255,255,255
12000,0,0,10.2059,255,255,255
12250,0,0,10.4762,255,255,255
12500,0,0,10.7425,255,255,255
12750,0,0,11.0044,255,255,255
13000,0,0,11.2615,255,255,255
13250,0,0,11.5134,255,255,255
13500,0,0,11.7596,255,255,255
13750,0,0,11.9999,255,255,255
14000,0,0,12.2339,255,255,255
14250,0,0,12.4611,255,255,255
14500,0,0,12.6812,255,255,255
14750,0,0,12.8938,255,255,255
15000,0,0,13.0986,255,255,255
15250,0,0,13.295,255,255,255
15500,0,0,13.4828,255,255,255
15750,0,0,13.6615,255,255,255
16000,0,0,13.8308,255,255,255
16250,0,0,13.9903,255,255,255
16500,0,0,14.1397,255,255,255
16750,0,0,14.2784,255,255,255
17000,0,0,14.4062,255,255,255
17250,0,0,14.5226,255,255,255
17500,0,0,14.6273,255,255,255
17750,0,0,14.7199,255,255,255
18000,0,0,14.8,255,255,255
18250,0,0,14.8672,255,255,255
18500,0,0,14.9211,255,255,255
18750,0,0,14.9614,255,255,255
19000,0,0,14.9876,255,255,255
19250,0,0,14.9995,255,255,255
19500,0,0,15,255,255,255
19750,0,0,15,255,255,255
20000,0,0,15,255,255,255
20250,0,0,15,255,255,255
20500,0,0,15,255,255,255
20750,0,0,15,255,255,255
21000,0.0166,-0.0001,15,255,255,255
21250,0.0643,-0.0005,15,255,255,255
21500,0.1408,-0.0011,15,255,255,255
21750,0.2446,-0.002,15,255,255,255
22000,0.3744,-0.0031,15,255,255,255
22250,0.5287,-0.0044,15,255,255,255
22500,0.7059,-0.0059,15,255,255,255
22750,0.9047,-0.0076,15,255,255,255
23000,1.1234,-0.0094,15,255,255,255
23250,1.3608,-0.0113,15,255,255,255
23500,1.6152,-0.0133,15,255,255,255
23750,1.8853,-0.0153,15,255,255,255
24000,2.1695,-0.0175,15,255,255,255
24250,2.4665,-0.0196,15,255,255,255
24500,2.7747,-0.0218,15,255,255,255
24750,3.0926,-0.0239,15,255,255,255
25000,3.4188,-0.0261,15,255,255,255
25250,3.7518,-0.0281,15,255,255,255
25500,4.0902,-0.0301,15,255,255,255
25750,4.4325,-0.032,15,255,255,255
26000,4.7772,-0.0338,15,255,255,255
26250,5.1228,-0.0355,15,255,255,255
26500,5.4679,-0.037,15,255,255,255
26750,5.8111,-0.0383,15,255,255,255
27000,6.1507,-0.0394,15,255,255,255
27250,6.4855,-0.0403,15,255,255,255
27500,6.8138,-0.0409,15,255,255,255
27750,7.1343,-0.0413,15,255,255,255
28000,7.4454,-0.0414,15,255,255,255
28250,7.7457,-0.0412,15,255,255,255
28500,8.0338,-0.0407,15,255,255,255
28750,8.3081,-0.0398,15,255,255,255
29000,8.5672,-0.0385,15,255,255,255
29250,8.8096,-0.0369,15,255,255,255
29500,9.0339,-0.0348,15,255,255,255
29750,9.2386,-0.0324,15,255,255,255
30000,9.4222,-0.0294,15,255,255,255
30250,9.5832,-0.026,15,255,255,255
30500,9.7202,-0.0221,15,255,255,255
30750,9.8317,-0.0177,15,255,255,255
31000,9.9163,-0.0127,15,255,255,255
31250,9.9724,-0.0072,15,255,255,255
31500,9.9986,-0.0011,15,255,255,255
31750,10.0045,0.0118,15,255,255,255
32000,10.0096,0.0427,15,255,255,255
32250,10.0144,0.0914,15,255,255,255
32500,10.0189,0.1575,15,255,255,255
32750,10.0231,0.2403,15,255,255,255
33000,10.0271,0.3396,15,255,255,255
33250,10.0308,0.4547,15,255,255,255
33500,10.0342,0.5853,15,255,255,255
33750,10.0374,0.7309,15,255,255,255
34000,10.0403,0.8909,15,255,255,255
34250,10.043,1.065,15,255,255,255
34500,10.0454,1.2526,15,255,255,255
34750,10.0477,1.4533,15,255,255,255
35000,10.0497,1.6666,15,255,255,255
35250,10.0514,1.892,15,255,255,255
35500,10.053,2.1292,15,255,255,255
35750,10.0544,2.3774,15,255,255,255
36000,10.0555,2.6365,15,255,255,255
36250,10.0565,2.9057,15,255,255,255
36500,10.0573,3.1848,15,255,255,255
36750,10.0579,3.4731,15,255,255,255
37000,10.0583,3.7703,15,255,255,255
37250,10.0586,4.0759,15,255,255,255
37500,10.0587,4.3893,15,255,255,255
37750,10.0586,4.7102,15,255,255,255
38000,10.0584,5.038,15,255,255,255
38250,10.0581,5.3723,15,255,255,255
38500,10.0576,5.7127,15,255,255,255
38750,10.057,6.0585,15,255,255,255
39000,10.0563,6.4094,15,255,255,255
39250,10.0554,6.7649,15,255,255,255
39500,10.0545,7.1246,15,255,255,255
39750,10.0534,7.4879,15,255,255,255
40000,10.0523,7.8543,15,255,255,255
40250,10.0511,8.2235,15,255,255,255
40500,10.0497,8.5949,15,255,255,255
40750,10.0483,8.9681,15,255,255,255
41000,10.0469,9.3426,15,255,255,255
41250,10.0453,9.7179,15,255,255,255
41500,10.0437,10.0935,15,255,255,255
41750,10.0421,10.4691,15,255,255,255
42000,10.0404,10.844,15,255,255,255
42250,10.0387,11.2179,15,255,255,255
42500,10.0369,11.5902,15,255,255,255
42750,10.0351,11.9606,15,255,255,255
43000,10.0333,12.3285,15,255,255,255
43250,10.0315,12.6934,15,255,255,255
43500,10.0296,13.0549,15,255,255,255
43750,10.0278,13.4125,15,255,255,255
44000,10.026,13.7658,15,255,255,255
44250,10.0242,14.1142,15,255,255,255
44500,10.0224,14.4573,15,255,255,255
44750,10.0206,14.7947,15,255,255,255
45000,10.0189,15.1258,15,255,255,255
45250,10.0171,15.4502,15,255,255,255
45500,10.0155,15.7674,15,255,255,255
45750,10.0139,16.0769,15,255,255,255
46000,10.0123,16.3783,15,255,255,255
46250,10.0108,16.6711,15,255,255,255
46500,10.0094,16.9548,15,255,255,255
46750,10.008,17.229,15,255,255,255
47000,10.0068,17.4932,15,255,255,255
47250,10.0056,17.7469,15,255,255,255
47500,10.0045,17.9896,15,255,255,255
47750,10.0035,18.2209,15,255,255,255
48000,10.0027,18.4403,15,255,255,255
48250,10.0019,18.6473,15,255,255,255
48500,10.0013,18.8415,15,255,255,255
48750,10.0007,19.0223,15,255,255,255
49000,10.0003,19.1894,15,255,255,255
49250,10.0001,19.3422,15,255,255,255
49500,10,19.4803,15,255,255,255
49750,10.0037,19.6013,15,255,255,255
50000,10.0154,19.7025,15,255,255,255
50250,10.0312,19.7855,15,255,255,255
50500,10.0466,19.8519,15,255,255,255
50750,10.0574,19.9036,15,255,255,255
51000,10.0594,19.9423,15,255,255,255
51250,10.0482,19.9695,15,255,255,255
51500,10.0195,19.987,15,255,255,255
51750,9.9691,19.9966,15,255,255,255
52000,9.8927,19.9999,15,255,255,255
52250,9.7849,20,15,255,255,255
52500,9.6431,20,15,255,255,255
52750,9.4694,20,15,255,255,255
53000,9.2659,20,15,255,255,255
53250,9.0349,20,15,255,255,255
53500,8.7786,20,15,255,255,255
53750,8.499,20,15,255,255,255
54000,8.1984,20,15,255,255,255
54250,7.879,20,15,255,255,255
54500,7.5428,20,15,255,255,255
54750,7.192,20,15,255,255,255
55000,6.8288,20,15,255,255,255
55250,6.4554,20,15,255,255,255
55500,6.0738,20,15,255,255,255
55750,5.6864,20,15,255,255,255
56000,5.2951,20,15,255,255,255
56250,4.9022,20,15,255,255,255
56500,4.5099,20,15,255,255,255
56750,4.1202,20,15,255,255,255
57000,3.7354,20,15,255,255,255
57250,3.3576,20,15,255,255,255
57500,2.989,20,15,255,255,255
57750,2.6318,20,15,255,255,255
58000,2.288,20,15,255,255,255
58250,1.9599,20,15,255,255,255
58500,1.6495,20,15,255,255,255
58750,1.3592,20,15,255,255,255
59000,1.091,20,15,255,255,255
59250,0.8471,20,15,255,255,255
59500,0.6296,20,15,255,255,255
59750,0.4408,20,15,255,255,255
60000,0.2827,20,15,255,255,255
60250,0.1576,20,15,255,255,255
60500,0.0675,20,15,255,255,255
60750,0.0091,19.9972,15,255,255,255
61000,-0.029,19.9858,15,255,255,255
61250,-0.0502,19.9645,15,255,255,255
61500,-0.0579,19.9325,15,255,255,255
61750,-0.0551,19.8885,15,255,255,255
62000,-0.0453,19.8316,15,255,255,255
62250,-0.0316,19.7606,15,255,255,255
62500,-0.0174,19.6745,15,255,255,255
62750,-0.0058,19.5723,15,255,255,255
63000,-0.0001,19.4528,15,255,255,255
