Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,0,-0.0025,255,255,255
250,0,0,0.022,255,255,255
500,0,0,0.073,255,255,255
750,0,0,0.1499,255,255,255
1000,0,0,0.2517,255,255,255
1250,0,0,0.3775,255,255,255
1500,0,0,0.5262,255,255,255
1750,0,0,0.6968,255,255,255
2000,0,0,0.8884,255,255,255
2250,0,0,1.0999,255,255,255
2500,0,0,1.3304,255,255,255
2750,0,0,1.5788,255,255,255
3000,0,0,1.8443,255,255,255
3250,0,0,2.1257,255,255,255
3500,0,0,2.4222,255,255,255
3750,0,0,2.7326,255,255,255
4000,0,0,3.0561,255,255,255
4250,0,0,3.3915,255,255,255
4500,0,0,3.7374,255,255,255
4750,0,0,4.0914,255,255,255
5000,0,0,4.4521,255,255,255
5250,0,0,4.8182,255,255,255
5500,0,0,5.1885,255,255,255
5750,0,0,5.5616,255,255,255
6000,0,0,5.9362,255,255,255
6250,0,0,6.3111,255,255,255
6500,0,0,6.6849,255,255,255
6750,0,0,7.0563,255,255,255
7000,0,0,7.424,255,255,255
7250,0,0,7.7868,255,255,255
7500,0,0,8.1432,255,255,255
7750,0,0,8.4921,255,255,255
8000,0,0,8.8321,255,255,255
8250,0,0,9.1619,255,255,255
8500,0,0,9.4802,255,255,255
8750,0,0,9.7857,255,255,255
9000,0,0,10.0771,255,255,255
9250,0,0,10.3531,255,255,255
9500,0,0,10.6124,255,255,255
9750,0,0,10.8536,255,255,255
10000,0,0,11.0756,255,255,255
10250,0,0,11.2769,255,255,255
10500,0,0,11.4563,255,255,255
10750,0,0,11.6125,255,255,255
11000,0,0,11.7442,255,255,255
11250,0,0,11.85,255,255,255
11500,0,0,11.9288,255,255,255
11750,0,0,11.979,255,255,255
12000,0,0,11.9996,255,255,255
12250,0,0,12,255,255,255
12500,0,0,12,255,255,255
12750,0,0,12,255,255,255
13000,0.0026,-0.0026,12,255,255,255
13250,0.0124,-0.0124,12,255,255,255
13500,0.0294,-0.0294,12,255,255,255
13750,0.0532,-0.0532,12,255,255,255
14000,0.0836,-0.0836,12,255,255,255
14250,0.1204,-0.1204,12,255,255,255
14500,0.1634,-0.1634,12,255,255,255
14750,0.2123,-0.2123,12,255,255,255
15000,0.2668,-0.2668,12,255,255,255
15250,0.3268,-0.3268,12,255,255,255
15500,0.392,-0.392,12,255,255,255
15750,0.4621,-0.4621,12,255,255,255
16000,0.5369,-0.5369,12,255,255,255
16250,0.6162,-0.6162,12,255,255,255
16500,0.6998,-0.6998,12,255,255,255
16750,0.7873,-0.7873,12,255,255,255
17000,0.8786,-0.8786,12,255,255,255
17250,0.9734,-0.9734,12,255,255,255
17500,1.0715,-1.0715,12,255,255,255
17750,1.1726,-1.1726,12,255,255,255
18000,1.2765,-1.2765,12,255,255,255
18250,1.383,-1.383,12,255,255,255
18500,1.4917,-1.4917,12,255,255,255
18750,1.6026,-1.6026,12,255,255,255
19000,1.7153,-1.7153,12,255,255,255
19250,1.8296,-1.8296,12,255,255,255
19500,1.9452,-1.9452,12,255,255,255
19750,2.062,-2.062,12,255,255,255
20000,2.1796,-2.1796,12,255,255,255
20250,2.2979,-2.2979,12,255,255,255
20500,2.4165,-2.4165,12,255,255,255
20750,2.5354,-2.5354,12,255,255,255
21000,2.6541,-2.6541,12,255,255,255
21250,2.7726,-2.7726,12,255,255,255
21500,2.8904,-2.8904,12,255,255,255
21750,3.0075,-3.0075,12,255,255,255
22000,3.1235,-3.1235,12,255,255,255
22250,3.2383,-3.2383,12,255,255,255
22500,3.3515,-3.3515,12,255,255,255
22750,3.463,-3.463,12,255,255,255
23000,3.5725,-3.5725,12,255,255,255
23250,3.6797,-3.6797,12,255,255,255
23500,3.7845,-3.7845,12,255,255,255
23750,3.8866,-3.8866,12,255,255,255
24000,3.9857,-3.9857,12,255,255,255
24250,4.0816,-4.0806,12,255,255,255
24500,4.1743,-4.1696,12,255,255,255
24750,4.2633,-4.2527,12,255,255,255
25000,4.3485,-4.3303,12,255,255,255
25250,4.4296,-4.4024,12,255,255,255
25500,4.5064,-4.4693,12,255,255,255
25750,4.5784,-4.5311,12,255,255,255
26000,4.6456,-4.5881,12,255,255,255
26250,4.7076,-4.6404,12,255,255,255
26500,4.7641,-4.6882,12,255,255,255
26750,4.8149,-4.7318,12,255,255,255
27000,4.8597,-4.7712,12,255,255,255
27250,4.8982,-4.8067,12,255,255,255
27500,4.9303,-4.8385,12,255,255,255
27750,4.9555,-4.8668,12,255,255,255
28000,4.9737,-4.8918,12,255,255,255
28250,4.9845,-4.9135,12,255,255,255
28500,4.9878,-4.9324,12,255,255,255
28750,4.9832,-4.9484,12,255,255,255
29000,4.9704,-4.9619,12,255,255,255
29250,4.9493,-4.973,12,255,255,255
29500,4.9194,-4.9819,12,255,255,255
29750,4.8807,-4.9888,12,255,255,255
30000,4.8327,-4.9938,12,255,255,255
30250,4.7753,-4.9973,12,255,255,255
30500,4.7081,-4.9992,12,255,255,255
30750,4.631,-5,12,255,255,255
31000,4.5442,-5,12,255,255,255
31250,4.449,-5,12,255,255,255
31500,4.3457,-5,12,255,255,255
31750,4.2345,-5,12,255,255,255
32000,4.1155,-5,12,255,255,255
32250,3.9892,-5,12,255,255,255
32500,3.8556,-5,12,255,255,255
